[2026-07-26T01:17:25.783+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-26T01:17:25.915+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingest_bronze_layer.trigger_silver_layer scheduled__2026-07-26T00:00:00+00:00 [queued]>
[2026-07-26T01:17:26.019+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingest_bronze_layer.trigger_silver_layer scheduled__2026-07-26T00:00:00+00:00 [queued]>
[2026-07-26T01:17:26.046+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-07-26T01:17:26.346+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_silver_layer> on 2026-07-26 00:00:00+00:00
[2026-07-26T01:17:26.451+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=237) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-26T01:17:26.446+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'ingest_bronze_layer', 'trigger_silver_layer', 'scheduled__2026-07-26T00:00:00+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/bronze_ingestion_dag.py', '--cfg-path', '/tmp/tmp1ryq432e']
[2026-07-26T01:17:26.468+0000] {standard_task_runner.py:63} INFO - Started process 251 to run task
[2026-07-26T01:17:26.482+0000] {standard_task_runner.py:91} INFO - Job 72: Subtask trigger_silver_layer
[2026-07-26T01:17:26.791+0000] {task_command.py:426} INFO - Running <TaskInstance: ingest_bronze_layer.trigger_silver_layer scheduled__2026-07-26T00:00:00+00:00 [running]> on host 27aa5114c95c
[2026-07-26T01:17:27.476+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingest_bronze_layer' AIRFLOW_CTX_TASK_ID='trigger_silver_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-07-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-26T00:00:00+00:00'
[2026-07-26T01:17:27.480+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-26T01:18:08.920+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:175 SyntaxWarning: invalid escape sequence '\d'
[2026-07-26T01:18:08.932+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/azure/synapse/artifacts/models/_models_py3.py:222 SyntaxWarning: invalid escape sequence '\d'
